review,sentiment
사람들은 그것을 나라에 먹으면 델리로 가져 가서 친구를 보여줄지 확신하지 못할 것입니다.,negative
이 나라에서 사라지는 사람들은 내부 주의자들을 만나서 유명해졌습니다.,negative
"체인이 바뀌었고, 나는 그것이 풀려났다는 것을 이해했습니다.",negative
BJP는 대규모로 폭동을 얻을 수 있습니다 : Mulayam Singh Yadav -Navbharat Times,negative
영어는 오지 않기 때문에 더 많은 힌디어 트윗을합니다. 개인적인 의견이 기분이 나쁘면 지옥으로 가십시오.,negative
물 지하드는 카슈미르에서 일어나고 있습니다.,negative
"신이 인도에서 폭동이고 인도에서 인간이 죽는다면 힌두 스탄 경찰은 구부러지는 것으로 간주 될 것이고, 힌두 스탄 경찰은 인도에 절하지 않아야합니다",negative
"한 사람이 혼자 투쟁에 빠졌고, 세상은 성공을 거두었습니다. 세상이 그를 비웃었을 때, 그는 새로운 역사를 만들었습니다.",negative
사랑은 장님입니다,negative
Ram Jethmalani는 Gadgari를 날카로운 일로 비난했지만 정부 기관은 아직 그런 생명을 보지 못했습니다.,negative
회의가 석방되어야합니다. 나는 눈물처럼 한 나이에 투옥됩니다.,negative
마오 주의자들은 자산을 첨부 할 것입니다,negative
"Mulayam과 Akhilesh가 원한다면, UP의 폭동과 Karva Bills는 Mahendra Singh Dhoni라는 이름으로 찢어 질 수 있습니다.#Indvseng",negative
밤에 Mogambo가 Mogambo가 행복하다고 외치면 Manmohan 정부의 나쁜 꿈을 기억한다는 것을 이해합니다.,negative
Katju는 1993 년에 살해 된 사람들에게 동정심이 없으며 그의 입은 의회와 그에 의해지지되는 사람들에게만 열립니다.,negative
"그러한 사고가 있으며, 인생에는 사람들이 있고, 살지 않고, 좋은 밤 친구가 있습니다.",negative
#3 년 동안 화장실에서 결혼 한 뉴스는 이어집니다,negative
"결혼 한 여성은 3 년 동안 화장실에서 문을 닫았다 : 일요일, 일요일에 비하르의 Darbhanga 지구의 Gunja 거주자",negative
나는 uupa 3에 의해 맹세합니다. 또한 의회 의원이 될 것입니다. 정직하고 내 집을 얼마나 오래 태울 것인가?,negative
Pawan과 Ashwini는 사임 할 필요가 없었습니다. 오늘 Karnataka의 선거가 있었기 때문에 Thief Group에서 결정이 있었기 때문에 신뢰성 투표에 영향을 미치지 않기 때문입니다.,negative
"당신을 부르면, 당신은 축제에 일어 났을 것입니다. 우리는 스스로 일어 났을 것입니다.",negative
#BJP의 헌법 적 트릭을 잘못 인용하여 비밀 투표 (일어나지 않는)로 델리에 정부를 형성하는 비민주적 음모.,negative
"이 진술에 대한 불만이 없습니다. 우리가 불만이 있다면, 중앙 정부는 내무부 출신이며 대법원 출신입니다.",negative
잠무와 카슈미르 : 7 명이 산사태로 사망했으며 20 명이 여전히 실종되었습니다.,negative
마오 주의자들은 자산을 첨부 할 것입니다,negative
이제 모든 세력은 서로 다르고 그들 사이에서 버링의 전투와 싸우고 있습니다.,negative
잠무와 카슈미르에서 일어나는 일은 물 지하드라고합니다.,negative
하나님께서는 그분 앞에기도를 전하는 것을 잊고 하나님 께서 죽기를기도하셨습니다.,negative
RSS IS-Aqa Qaeda와 함께 인도에서의를 전파하는 모든 Dharmonamadi Hitlerpanthi는 IS와 같은 죄를 짓고 있습니다.,negative
Hurriyat Jihadi Yasin Malik과 Azad Kashmir는 Kashmir #jammukashmirfloods를 식히는 Kashmir를 구하기 위해 앞으로 나아 가지 않을 것입니다. #kashmirfloods,negative
만누지는 지난 10 년 동안 헌법을 숭배 해 왔는가? 의회 사람들이 얼마나 뻔뻔한 지.,negative
취한 chur 바바는 집으로 돌아 왔습니다.,negative
"이것은 경외입니다. 먼저, 그는 이라크와 시리아의 사람들을 시아파-쿠르드-알바이-아라비아-페르시아어와 부족으로 나눕니다.",negative
"당신은 잘못되고 있습니다. 안나 기간 동안, 사람들 사이에는 엄청난 분노가 있었지만 이제는 부패했지만 인기있는 정부입니다.",negative
Nithari 살인 사건 : 사형 집행 인의 발견은 Surender Kohli의 교수형 시간이 가까워 지 자마자 Meerut Jail에서 시작되었습니다.,negative
"Sakhi Siyya는 많은 편안함이며, 인플레이션은 무서워요.",negative
Kejriwalji는 요즘 CM이되지 않으면 명예 훼손의 경우 크로스의 형벌을 채워야하는 사람들이 #Jaihoneta에서 가져올 것이라고 걱정하고 있습니다.,negative
마음은 매우 놈 카미니입니다.,negative
"바보와 근본 주의자들은 자신을 매우 크게 생각하는 반면, 지능적인 사람들은 항상 자신의 능력을 의심하는 것은 세계에서 큰 문제입니다.",negative
그렇다면 왜 자부심으로 이름을 가져 가기 위해 부끄러워해야 할 Ai de를 던 졌습니까?,negative
Janardan Dwivedi는 Rahul 팀을 통해 말하는 것을 중단했습니다,negative
사람의 자살을 저지르는 최고 아버지 하나님은 결코 사람이되지 않습니다.,negative
C C Shah Rukh는 그러한 몸에 50 명이 가까이에 도달했으며 빌어 먹을 젊은이들에게 임신 한 것처럼 여기로 돌아 다니고 있습니다.,negative
재산을 가진 마오 주의자들은 처음으로 마오 주의자들에게 붙어있을 것입니다.,negative
이슬람 국가는 또한 인도와 파키스탄의 일부 인디 팩 깃발과 배너를 두드리고 있습니다.,negative
#BreakingNews J & K : 7 산사태에서 사망 20 누락,negative
이슬람 국가는 또한 인도와 파키스탄의 일부 인디 팩 깃발과 배너를 두드리고 있습니다.,negative
