review,sentiment
"Les gens le mangent dans le pays, il ne sera pas sûr que vous l'emmène à Delhi et que vous le montrez ami",negative
Les gens qui disparaissent sur le pays sont devenus célèbres en rencontrant les innertistes,negative
"La chaîne a changé, j'ai compris qu'elle a été libérée",negative
BJP peut obtenir des émeutes à grande échelle dans UP: Mulayam Singh Yadav - Navbharat Times,negative
"L'anglais ne vient pas, donc je fais plus de tweet en hindi. Si l'opinion personnelle se sent mal, allez en enfer.",negative
Le jihad d'eau se produit au Cachemire.,negative
"Si Dieu est une émeute en Inde et que les humains meurent en Inde, la police de Hindustan sera considérée comme se plier, la police de Hindustan ne devrait pas s'incliner devant l'Inde",negative
"Un homme est seul en lutte, le monde est avec lui dans le succès, lorsque le monde s'est moqué de lui, puis il a créé une nouvelle histoire.",negative
L'amour est aveugle,negative
"Ram Jethmalani a accusé Gadgari dans une chose nette, alors qu'aucune institution gouvernementale n'a encore été accusée pour voir une telle vie",negative
Une réunion est nécessaire pour libérer. Je suis emprisonné pour un âge comme des larmes.,negative
Les maoïstes attacheront des actifs,negative
"Si Mulayam et Akhilesh veulent, alors une émeute dans Up et Karva Bills peut se déchirer au nom de Mahendra Singh Dhoni. # Indvseng",negative
"Lorsque Mogambo crie dans la nuit où Mogambo est heureux, alors comprenez que les mauvais rêves du gouvernement Manmohan sont mémorisés",negative
Katju n'a aucune sympathie aux personnes tuées en 1993 et ​​sa bouche ne s'ouvre que et uniquement pour le Congrès et les personnes soutenues par elle.,negative
"Il y a de tels accidents, il y a des gens dans la vie, ils ne vivent pas, des amis de bonne nuit.",negative
#News marié dans la salle de bain pendant trois ans Suivez,negative
"Une femme mariée fermée dans les toilettes pendant trois ans: résident de Gunja dans le district de Darbhanga du Bihar le dimanche, dimanche",negative
"Je jure par UUPA 3, je deviendrai également un membre du Congrès, combien de temps deviendrai-je honnête et brûlera ma propre maison?",negative
"Pawan et Ashwini n'ont pas eu à démissionner, aujourd'hui, il y a eu une décision dans le groupe de voleurs parce qu'il y a eu une élection du Karnataka afin que le vote de crédibilité ne soit pas affecté.",negative
"En vous appelant, vous vous seriez levé dans le festival, nous nous serions entendus eux-mêmes.",negative
Un complot non démocratique pour former un gouvernement à Delhi avec un scrutin secret (qui ne se produit pas) en citant à tort les astuces constitutionnelles de #BJP.,negative
"Je n'ai aucune plainte sur cette déclaration. Si nous avons une plainte, le gouvernement central est du ministère des Affaires intérieures, provient de la Cour suprême.",negative
Jammu et Cachemire: 7 personnes sont mortes en raison de glissements de terrain tandis que 20 personnes sont encore portées disparues.,negative
Les maoïstes attacheront des actifs,negative
"Maintenant, toutes les forces sont différentes les unes des autres et combattent la bataille de Biring entre elles.",negative
Ce qui se passe au Jammu-et-Cachemire s'appelle Water Jihad.,negative
Dieu a oublié de répandre les prières devant lui et a prié pour que Dieu meure,negative
"Tous les Dharmonamadi Hitlerpanthi, qui répand la justice en Inde avec le RSS IS-AQA Qaïda, ils font les mêmes péchés comme Is",negative
"Hurriyat Jihadi Yasin Malik et Azad Cachemire ne se présenteront pas pour sauver le Cachemire, qui Chills Cachemire #jammukashmirflood. #Kashmirflood",negative
Mannuji adore la Constitution au cours des 10 dernières années? À quel point le peuple du Congrès est éhonté.,negative
Chur Baba ivre rentre chez lui.,negative
"C'est adorable. Tout d'abord, il a divisé les gens en Irak et en Syrie aux tribus chiiques chiites chiites et tribus.",negative
"Vous vous trompez. Pendant Anna, il y avait une énorme colère parmi les gens maintenant qu'ils ont un gouvernement corrompu mais populaire.",negative
Case de meurtre de Nithari: La découverte du bourreau a commencé dans la prison de Meerut dès que le moment de la suspension de Surender Kohli est proche.,negative
"Sakhi Siyya est beaucoup de réconfort, l'inflation meh est redoutée.",negative
"Kejriwalji s'inquiète de nos jours que si le CM ne devient pas, alors ceux qui doivent remplir la pénalité des crores dans les cas de diffamation, ils l'apporteront de #Jaihoneta",negative
Le cœur est un truc de Kamini très bâtard.,negative
C'est un gros problème dans le monde que les imbéciles et les fondamentalistes se considèrent comme très grands tandis que les gens intelligents doutent toujours de leur capacité.,negative
Alors pourquoi avez-vous lancé ai-vous ce que vous avez pour avoir honte de prendre le nom avec fierté?,negative
Janardan Dwivedi a cessé de parler de l'équipe Rahul via,negative
"Le Père suprême Dieu qui commet un suicide de l'homme ne devient jamais un homme, il ne faut jamais aller à l'encontre du Père suprême Dieu, le Père suprême",negative
C C Shah Rukh a fait un tel corps pour atteindre près de 50 ans et est en itinéraire ici comme enceinte dans Putain de jeunesse.,negative
Les maoïstes avec des biens seront attachés aux maoïstes pour la première fois,negative
L'État islamique frappe également dans les drapeaux et les bannières indo-pak: certaines parties de l'Inde et du Pakistan,negative
#BreakingNews J & K: 7 tués dans des glissements de terrain 20 manquants,negative
L'État islamique frappe également dans les drapeaux et les bannières indo-pak: certaines parties de l'Inde et du Pakistan,negative
"Quand je suis allé trouver le mal dans ce monde, je n'ai rien de mauvais. Quand j'ai regardé mon esprit, j'ai trouvé qu'il n'y avait pas de pire que moi.",negative
"Maintenant, ne dites pas cela à l'autre pour les tuer, ils doivent vous tuer",negative
"Que ce soit Birla ou Tata, tout le monde a coupé ce pays dans son affaire",negative
"Lorsque la ville nous dorme, alors vous savez ce qui se passe ici, se réveille ici, Lashe est vivant, les morts perdent la vie là-bas",negative
J'ai pleuré après avoir déchiré mon cœur et je viens de demander à cette sœur -in-law prenne soin?,negative
"L'administrateur de l'honneur Shri 10001 KK KK Santiapa est toujours brisé par le cœur, mais personne ne croira que c'est une question de grande tristesse.",negative
Et l'état de Dravid se produirait comme ce père honnête à ce moment qui n'a pas fait de roupie d'en haut et un jour ses enfants ont été surpris en train de vendre de l'opium.,negative
