sentiment,review
"ప్రజలు దీనిని దేశానికి తింటారు, మీరు దానిని Delhi ిల్లీకి తీసుకెళ్ళి స్నేహితుడిని చూపించారని ఖచ్చితంగా చెప్పలేరు",negative
దేశంపై అదృశ్యమైన ప్రజలు అంతర్గతవాదులను కలవడం ద్వారా ప్రసిద్ధి చెందారు,negative
"గొలుసు మార్చబడింది, అది విడుదల చేయబడిందని నేను అర్థం చేసుకున్నాను",negative
బిజెపి పెద్ద ఎత్తున అల్లర్లను పొందగలదు: ములాయం సింగ్ యాదవ్ - నవబరాత్ టైమ్స్,negative
"ఇంగ్లీష్ రాదు, కాబట్టి నేను మరింత హిందీ ట్వీట్ చేస్తాను. వ్యక్తిగత అభిప్రాయం చెడుగా అనిపిస్తే నరకానికి వెళ్ళండి.",negative
కాశ్మీర్‌లో వాటర్ జిహాద్ జరుగుతోంది.,negative
"భారతదేశంలో దేవుడు అల్లర్లు మరియు భారతదేశంలో మానవులు చనిపోతే, హిందూస్తాన్ పోలీసులు వంగి, హిందూస్తాన్ పోలీసులు భారతదేశానికి నమస్కరించకూడదు",negative
"ఒక వ్యక్తి పోరాటంలో ఒంటరిగా ఉన్నాడు, ప్రపంచం అతనితో విజయం సాధించింది, ప్రపంచం అతనిని చూసి నవ్వినప్పుడు, అతను కొత్త చరిత్రను సృష్టించాడు.",negative
ప్రేమ గుడ్డిది,negative
"రామ్ జెత్మమానీ గడ్గారిని పదునైన విషయం ఆరోపించగా, ఏ ప్రభుత్వ సంస్థ కూడా అలాంటి జీవితాన్ని చూడలేదని ఆరోపించారు",negative
విడుదల చేయడానికి ఒక సమావేశం అవసరం. నేను కన్నీళ్లు వంటి ఒక వయస్సులో ఖైదు చేయబడ్డాను.,negative
మావోయిస్టులు ఆస్తులను అటాచ్ చేస్తారు,negative
"ములయం మరియు అఖిలేష్ కావాలనుకుంటే, అప్పుడు యుపి మరియు కార్వా బిల్లులలోని అల్లర్లు మహేంద్ర సింగ్ ధోని పేరిట చిరిగిపోతాయి.",negative
"మొగాగాబో సంతోషంగా ఉందని రాత్రి మొగాగాబో అరుస్తున్నప్పుడు, మన్మోహన్ ప్రభుత్వం యొక్క చెడు కలలు గుర్తుకు వస్తాయి",negative
కట్జుకు 1993 లో చంపబడిన వారిపై సానుభూతి లేదు మరియు అతని నోరు మాత్రమే తెరుచుకుంటుంది మరియు కాంగ్రెస్ మరియు ప్రజలకు మాత్రమే మద్దతు ఉంది.,negative
